# g,occ0,occ1,ipr
1.500000000000000000e+00,5.000000000000003331e-01,4.999999999999999445e-01,5.000000000000002220e-01
1.550000000000000044e+00,5.000000000000004441e-01,4.999999999999997780e-01,5.000000000000002220e-01
1.600000000000000089e+00,4.999999999999998890e-01,5.000000000000001110e-01,5.000000000000000000e-01
1.650000000000000133e+00,5.000000000000007772e-01,4.999999999999997224e-01,5.000000000000004441e-01
1.700000000000000178e+00,4.999999999999996669e-01,5.000000000000003331e-01,5.000000000000000000e-01
1.750000000000000000e+00,5.000000000000003331e-01,4.999999999999993894e-01,4.999999999999997224e-01
1.800000000000000044e+00,5.000000000000023315e-01,4.999999999999983902e-01,5.000000000000006661e-01
1.850000000000000089e+00,5.000000000000032196e-01,4.999999999999971134e-01,5.000000000000003331e-01
1.900000000000000133e+00,4.999999999999965583e-01,5.000000000000029976e-01,4.999999999999995559e-01
1.950000000000000178e+00,5.000000000000035527e-01,4.999999999999968914e-01,5.000000000000004441e-01
2.000000000000000000e+00,4.999999999999988343e-01,5.000000000000014433e-01,5.000000000000002220e-01
2.050000000000000266e+00,5.000000000000014433e-01,4.999999999999989453e-01,5.000000000000004441e-01
2.100000000000000089e+00,5.000000000000025535e-01,4.999999999999975020e-01,5.000000000000000000e-01
2.149999999999999911e+00,5.000000000000008882e-01,4.999999999999986122e-01,4.999999999999995004e-01
2.200000000000000178e+00,5.000000000000021094e-01,4.999999999999979461e-01,5.000000000000000000e-01
2.250000000000000000e+00,4.999999999999993339e-01,5.000000000000007772e-01,5.000000000000001110e-01
2.300000000000000266e+00,4.999999999999950595e-01,5.000000000000051070e-01,5.000000000000002220e-01
2.350000000000000089e+00,5.000000000000045519e-01,4.999999999999958922e-01,5.000000000000004441e-01
2.400000000000000355e+00,4.999999999999963918e-01,5.000000000000034417e-01,4.999999999999998335e-01
2.450000000000000178e+00,4.999999999999922284e-01,5.000000000000073275e-01,4.999999999999995559e-01
2.500000000000000000e+00,5.000000000000007772e-01,4.999999999999992784e-01,5.000000000000000000e-01
2.550000000000000266e+00,5.000000000000003331e-01,5.000000000000003331e-01,5.000000000000006661e-01
2.600000000000000089e+00,5.000000000000041078e-01,4.999999999999956701e-01,4.999999999999997780e-01
2.650000000000000355e+00,5.000000000000046629e-01,4.999999999999953371e-01,5.000000000000000000e-01
2.700000000000000178e+00,5.000000000000075495e-01,4.999999999999925615e-01,5.000000000000001110e-01
2.750000000000000000e+00,4.999999999999800160e-01,5.000000000000204281e-01,5.000000000000004441e-01
2.800000000000000266e+00,4.999999999999892863e-01,5.000000000000109912e-01,5.000000000000002220e-01
2.850000000000000089e+00,4.999999999999871214e-01,5.000000000000127676e-01,4.999999999999998890e-01
2.900000000000000355e+00,4.999999999999963918e-01,5.000000000000037748e-01,5.000000000000002220e-01
2.950000000000000178e+00,4.999999999999934497e-01,5.000000000000074385e-01,5.000000000000008882e-01
3.000000000000000000e+00,5.000000000000051070e-01,4.999999999999951705e-01,5.000000000000002220e-01
3.050000000000000266e+00,5.000000000000106581e-01,4.999999999999900635e-01,5.000000000000006661e-01
3.100000000000000089e+00,4.999999999999982236e-01,5.000000000000008882e-01,4.999999999999991118e-01
3.150000000000000355e+00,4.999999999999911737e-01,5.000000000000091038e-01,5.000000000000002220e-01
3.200000000000000178e+00,4.999999999999939493e-01,5.000000000000064393e-01,5.000000000000004441e-01
3.250000000000000000e+00,5.000000000000017764e-01,4.999999999999986677e-01,5.000000000000004441e-01
3.300000000000000266e+00,4.999999999999863998e-01,5.000000000000136557e-01,5.000000000000000000e-01
3.350000000000000089e+00,4.999999999999907851e-01,5.000000000000092149e-01,5.000000000000000000e-01
3.400000000000000355e+00,5.000000000000163203e-01,4.999999999999839018e-01,5.000000000000002220e-01
3.450000000000000178e+00,4.999999999999924505e-01,5.000000000000073275e-01,4.999999999999997780e-01
3.500000000000000000e+00,4.999999999999995559e-01,5.000000000000008882e-01,5.000000000000004441e-01
3.550000000000000266e+00,4.999999999999968914e-01,5.000000000000026645e-01,4.999999999999995559e-01
3.600000000000000089e+00,4.999999999999896194e-01,5.000000000000104361e-01,5.000000000000000000e-01
3.650000000000000355e+00,5.000000000000014433e-01,4.999999999999988343e-01,5.000000000000002220e-01
3.700000000000000178e+00,5.000000000000049960e-01,4.999999999999947820e-01,4.999999999999997780e-01
3.750000000000000000e+00,4.999999999999763522e-01,5.000000000000237588e-01,5.000000000000001110e-01
3.800000000000000266e+00,5.000000000000037748e-01,4.999999999999961142e-01,4.999999999999998890e-01
3.850000000000000089e+00,5.000000000000135447e-01,4.999999999999860667e-01,4.999999999999996114e-01
3.900000000000000355e+00,5.000000000000032196e-01,4.999999999999970024e-01,5.000000000000002220e-01
3.950000000000000178e+00,5.000000000000085487e-01,4.999999999999906186e-01,4.999999999999991673e-01
4.000000000000000000e+00,5.000000000000032196e-01,4.999999999999968359e-01,5.000000000000000000e-01
