LAMMPS restart file after 2ns annealing

1810 atoms
2 atom types

0.0 25.994814 xlo xhi
0.0 25.994814 ylo yhi
0.0 46.795331 zlo zhi

Masses

1 28.0855  # Si
2 47.867   # Ti

Atoms # atomic

1455 2 25.446600 5.318870 25.604900
681 1 26.175100 6.825720 27.509600
1719 2 1.677010 7.929190 25.711300
624 1 2.757510 10.461200 25.134900
760 2 3.891770 9.194060 27.281300
325 1 6.176510 8.704240 26.300500
1000 2 8.245880 7.392730 27.284300
225 1 9.785320 9.561060 27.427500
996 2 10.568900 10.427900 24.948700
997 2 10.604400 7.665690 25.659700
1117 2 12.429500 8.943070 27.152900
1078 2 9.545290 0.773559 35.732700
1093 2 15.337600 8.877850 26.654500
1363 2 17.808100 7.749700 27.732600
65 1 19.723000 8.784530 26.525300
1598 2 17.816900 10.227600 25.740700
1621 2 22.155000 9.274280 26.744300
1597 2 25.114200 8.565270 25.741200
215 1 1.430120 13.476400 26.362700
783 2 2.524420 11.299600 27.594600
901 2 3.655260 12.814500 25.402300
1142 2 6.998720 13.270800 25.883500
904 2 5.390700 10.839800 25.177300
905 2 5.312720 12.201900 27.794100
1023 2 7.616720 10.705800 27.137200
1118 2 9.602610 12.215700 26.445100
1144 2 11.690800 13.328000 25.270400
1120 2 12.129800 11.494100 27.636300
1141 2 13.255100 10.763500 25.028700
1238 2 14.358500 13.286000 25.845800
1240 2 15.488800 11.448600 27.540700
255 1 15.768000 11.344600 24.937900
1478 2 17.527400 13.129400 26.125600
1096 2 20.110600 11.165400 27.120300
123 1 22.312400 11.742900 25.990000
1720 2 26.475400 11.164500 25.920900
1743 2 24.472900 13.254400 26.426400
1481 2 24.160100 11.133400 27.759500
859 2 4.387400 3.067990 29.893100
956 2 7.068740 1.176300 30.801700
836 2 5.990690 1.454180 28.134100
975 2 8.654230 2.312320 28.622300
977 2 11.862200 2.487600 28.983900
1194 2 14.195500 1.533410 30.088700
1335 2 15.844800 3.688550 30.341600
1312 2 17.502200 1.448890 28.772600
1575 2 18.789600 3.426270 30.287200
1698 2 22.295000 2.033900 28.517300
1579 2 21.354800 1.961930 31.284700
1696 2 26.707700 1.656670 29.522200
739 2 24.322200 2.840260 30.373200
763 2 2.414990 5.045890 30.753300
954 2 2.585680 6.711320 28.482400
1700 2 26.813400 4.301750 28.474300
737 2 4.944140 5.965580 29.747000
861 2 7.155620 4.187970 30.628100
980 2 9.347970 5.599950 29.683300
1001 2 12.045200 5.691950 30.142200
1097 2 14.033900 4.444070 28.682500
1098 2 16.343400 6.475860 29.922500
1338 2 17.024500 4.531750 27.966900
1458 2 19.257100 5.967180 29.440400
1578 2 21.470200 4.413730 29.631100
1576 2 23.990900 5.230940 28.418100
1723 2 25.762200 6.667430 30.301600
787 2 1.706280 8.004090 31.245800
884 2 3.888930 8.980400 30.085000
880 2 6.167290 8.778020 28.796900
1002 2 8.604960 8.901610 29.768600
976 2 10.950800 7.237280 28.341300
